Altitude,Relative Altitude,Time
960,-22,20230614113524
960,-22,20230614113524
960,-23,20230614113525
960,-23,20230614113525
960,-23,20230614113525
960,-23,20230614113525
1110,123,20230614113526
1370,387,20230614113527
1970,981,20230614113527
4500,3516,20230614113528
5140,4156,20230614113529
6430,5446,20230614113529
7060,6079,20230614113529
7690,6706,20230614113530
10800,9816,20230614113531
12050,11061,20230614113531
12670,11683,20230614113532
13290,12307,20230614113532
13920,12930,20230614113532
15770,14787,20230614113533
17430,16444,20230614113534
18360,17372,20230614113534
18770,17785,20230614113534
19150,18163,20230614113535
19810,18822,20230614113535
20090,19101,20230614113535
20330,19345,20230614113536
20540,19554,20230614113536
20850,19864,20230614113536
20950,19970,20230614113537
21040,20055,20230614113537
21230,20245,20230614113538
21250,20268,20230614113539
21280,20290,20230614113539
21280,20295,20230614113540
21290,20300,20230614113540
21290,20303,20230614113541
21290,20304,20230614113542
21290,20303,20230614113542
21290,20301,20230614113543
21280,20299,20230614113543
21280,20297,20230614113543
21280,20297,20230614113544
21280,20293,20230614113545
21280,20294,20230614113546
21280,20294,20230614113546
21280,20294,20230614113546
21280,20294,20230614113546
21280,20295,20230614113547
21280,20295,20230614113547
21280,20292,20230614113549
21280,20291,20230614113549
21280,20291,20230614113550
21280,20291,20230614113550
21270,20288,20230614113551
21270,20288,20230614113551
21270,20284,20230614113552
21270,20282,20230614113553
21260,20279,20230614113553
21260,20278,20230614113554
21260,20277,20230614113554
21260,20276,20230614113554
21260,20275,20230614113554
21260,20272,20230614113555
21260,20270,20230614113556
21250,20269,20230614113556
21250,20265,20230614113557
21250,20264,20230614113557
21250,20263,20230614113557
21250,20262,20230614113558
21250,20260,20230614113558
21240,20254,20230614113559
21240,20253,20230614113559
21240,20251,20230614113600
21230,20249,20230614113600
21230,20245,20230614113601
21230,20244,20230614113602
21230,20242,20230614113602
21220,20238,20230614113602
21220,20237,20230614113603
21220,20233,20230614113603
21210,20229,20230614113604
21210,20228,20230614113605
21210,20227,20230614113605
21210,20225,20230614113605
21210,20223,20230614113606
21210,20222,20230614113606
21210,20221,20230614113606
21200,20219,20230614113607
21200,20217,20230614113607
21200,20216,20230614113607
21200,20214,20230614113608
21200,20213,20230614113608
21200,20212,20230614113608
21200,20210,20230614113609
21190,20206,20230614113610
21190,20204,20230614113610
21190,20200,20230614113611
21180,20199,20230614113611
21180,20196,20230614113612
21180,20195,20230614113612
21180,20194,20230614113612
21180,20193,20230614113613
21180,20192,20230614113613
21170,20189,20230614113613
21170,20186,20230614113614
21170,20185,20230614113614
21170,20184,20230614113615
21170,20183,20230614113615
21170,20180,20230614113616
21160,20178,20230614113616
21160,20178,20230614113616
21160,20177,20230614113616
21160,20176,20230614113617
21160,20175,20230614113617
21160,20174,20230614113617
21160,20172,20230614113617
21160,20171,20230614113618
21150,20168,20230614113618
21150,20166,20230614113619
21150,20160,20230614113620
21140,20157,20230614113621
21140,20156,20230614113621
21140,20154,20230614113621
21140,20153,20230614113622
21140,20150,20230614113622
21130,20147,20230614113623
21130,20146,20230614113623
21130,20143,20230614113624
21130,20143,20230614113624
21130,20142,20230614113624
21130,20140,20230614113625
21120,20137,20230614113625
21120,20136,20230614113626
21120,20133,20230614113626
21120,20131,20230614113627
21110,20127,20230614113628
21110,20126,20230614113628
21110,20125,20230614113628
21110,20123,20230614113629
21110,20122,20230614113629
21110,20120,20230614113630
21100,20114,20230614113631
21100,20112,20230614113631
21100,20111,20230614113632
21100,20110,20230614113632
21090,20103,20230614113633
21090,20101,20230614113634
21080,20099,20230614113634
21080,20097,20230614113635
21080,20096,20230614113635
21080,20095,20230614113635
21080,20090,20230614113636
21070,20089,20230614113637
21070,20085,20230614113637
21070,20084,20230614113638
21070,20084,20230614113638
21070,20083,20230614113638
21070,20080,20230614113639
21060,20075,20230614113639
21060,20074,20230614113640
21060,20073,20230614113640
21060,20072,20230614113640
21060,20071,20230614113641
21050,20062,20230614113643
21050,20060,20230614113643
21040,20059,20230614113643
21040,20058,20230614113644
21040,20057,20230614113644
21040,20056,20230614113644
21040,20055,20230614113645
21040,20054,20230614113645
21040,20050,20230614113646
21030,20046,20230614113647
21030,20045,20230614113647
21030,20043,20230614113647
21030,20042,20230614113648
21030,20041,20230614113648
21030,20040,20230614113648
21020,20039,20230614113648
21020,20037,20230614113649
21020,20036,20230614113649
21020,20033,20230614113650
21020,20032,20230614113650
21020,20030,20230614113650
21010,20029,20230614113651
21010,20024,20230614113652
21010,20022,20230614113652
21010,20021,20230614113652
21010,20020,20230614113653
21000,20019,20230614113653
21000,20018,20230614113653
21000,20017,20230614113653
21000,20011,20230614113655
21000,20012,20230614113655
21000,20014,20230614113655
21000,20016,20230614113655
21000,20017,20230614113656
20990,20008,20230614113657
20990,20002,20230614113657
20980,19999,20230614113657
20980,19998,20230614113658
20980,19997,20230614113658
20980,19992,20230614113659
20970,19986,20230614113659
20970,19981,20230614113659
20960,19979,20230614113700
20970,19982,20230614113700
20980,19990,20230614113700
20980,19992,20230614113701
20980,19991,20230614113701
20970,19989,20230614113702
20970,19987,20230614113702
20970,19987,20230614113702
20970,19987,20230614113703
20970,19988,20230614113703
20970,19989,20230614113703
20980,19990,20230614113704
20980,19991,20230614113705
20980,19991,20230614113705
20980,19992,20230614113705
20980,19991,20230614113706
20980,19992,20230614113707
20980,19991,20230614113708
20980,19990,20230614113708
20970,19989,20230614113708
20970,19988,20230614113709
20970,19988,20230614113709
20970,19987,20230614113710
20970,19986,20230614113711
20970,19985,20230614113711
20970,19985,20230614113711
20970,19985,20230614113712
20970,19985,20230614113712
20970,19985,20230614113712
20970,19985,20230614113712
20970,19985,20230614113713
20970,19983,20230614113713
20970,19982,20230614113714
20970,19982,20230614113714
20970,19982,20230614113714
20970,19982,20230614113715
20970,19982,20230614113715
20970,19982,20230614113715
20970,19982,20230614113716
20970,19982,20230614113716
20970,19982,20230614113716
20970,19982,20230614113716
20970,19983,20230614113717
20970,19983,20230614113718
20970,19983,20230614113719
20970,19983,20230614113719
20970,19984,20230614113719
20970,19984,20230614113719
20970,19985,20230614113720
20970,19985,20230614113720
20970,19985,20230614113721
20970,19983,20230614113722
20970,19985,20230614113723
20970,19986,20230614113724
20970,19986,20230614113725
20970,19986,20230614113725
20970,19986,20230614113725
20970,19986,20230614113726
20970,19984,20230614113727
20970,19986,20230614113729
20970,19987,20230614113730
20970,19987,20230614113730
20970,19987,20230614113731
20970,19987,20230614113731
20970,19987,20230614113732
20970,19986,20230614113732
20970,19986,20230614113732
20970,19986,20230614113733
20970,19987,20230614113733
20970,19986,20230614113734
20970,19986,20230614113735
